mu,binarization_residual,is_binarized,energy,binary_cut_value,gradient_norm,theta_0,theta_1,theta_2,hess_eig_0,hess_eig_1,hess_eig_2
0.073024012006003,0.8604598568256234,0,-1.4459237634696827,2.0,5.438227632636383e-06,-2.1273992830609894,2.1054211351370182,-0.01026946973711358,0.00029154202678867555,1.4080336634373845,1.5958777618300477
0.07602501250625313,0.8602702339544065,0,-1.4437322010173743,2.0,6.4520677898312175e-06,-2.1289198588200935,2.105793179374843,-0.010778519711442908,0.0003289227600994564,1.40422430144583,1.6000117639451266
0.07902601300650325,0.860075878111301,0,-1.441543165380612,2.0,7.596935259805541e-06,-2.1304382351590188,2.1061742675903217,-0.011279872836468398,0.00036936212648450205,1.4004125555649283,1.6041608472512894
0.08202701350675337,0.8598765189414682,0,-1.4393566681623633,2.0,8.882531951225733e-06,-2.131953936620423,2.1065649120033183,-0.011773147248140664,0.00041297925770435905,1.3965984238276585,1.6083249912273843
0.0850280140070035,0.8596718777843974,0,-1.437172721027623,2.0,1.031865036165967e-05,-2.1334664743289675,2.1069656393081595,-0.012257951666093217,0.00045989321386424403,1.3927819039430418,1.6125041764217436
0.08802901450725363,0.8594616681203907,0,-1.434991335705541,2.0,1.1915129014897304e-05,-2.1349753470636466,2.107376989666979,-0.012733886417727056,0.0005102230068020709,1.3889629932011518,1.6166983845432639
0.09103001500750375,0.8592455960502894,0,-1.4328125239918168,2.0,1.3681805534739998e-05,-2.136480042398098,2.107799515634076,-0.013200544508068108,0.00056408762661474,1.3851416883752476,1.6209075985543397
0.09403101550775388,0.8590233608087006,0,-1.4306362977513418,2.0,1.562846744562046e-05,-2.1379800379085157,2.1082337810111023,-0.013657512734744987,0.0006216060713351249,1.381317985621576,1.6251318027650736
0.097032016008004,0.8587946553105902,0,-1.428462668921109,2.0,1.7764800811704694e-05,-2.1394748024478454,2.108680359633754,-0.014104372846676736,0.0006828973797090291,1.3774918803776024,1.6293709829280667
0.10003301650825412,0.8585591667313697,0,-1.4262916495133715,2.0,2.010033684829271e-05,-2.1409637974853863,2.109139834090215,-0.01454070274544405,0.0007480806670222361,1.3736633672593972,1.6336251263330581
0.10303401700850424,0.858316577120021,0,-1.4241232516190387,2.0,2.2644396660427014e-05,-2.142446478509623,2.1096127943728327,-0.014966077727281316,0.0008172751638519465,1.3698324399590622,1.6378942219005737
0.10603501750875437,0.8580665640450034,0,-1.421957487411301,2.0,2.5406034286969626e-05,-2.143922296492445,2.1100998364642183,-0.015380071763884175,0.0008906002575956658,1.3659990911430633,1.6421782602737829
0.1090360180090045,0.8578088012723262,0,-1.4197943691494808,2.0,2.839397824922621e-05,-2.145390699412067,2.1106015608597697,-0.015782258819600388,0.00096817553658736,1.3621633123524834,1.6464772339076315
0.11203701850925463,0.8575429594750985,0,-1.4176339091830574,2.0,3.161657182683509e-05,-2.1468511338317127,2.111118571028856,-0.016172214202356018,0.0010501208365514643,1.3583250939061762,1.650791137154318
0.11503801900950475,0.8572687069737079,0,-1.4154761199558756,2.0,3.508171230389863e-05,-2.148303046530771,2.1116514718173307,-0.016549515945422047,0.0011365562891168478,1.3544844248078751,1.6551199663441927
0.11803901950975487,0.8569857105055891,0,-1.4133210140104866,2.0,3.879678945116177e-05,-2.149745886184577,2.112200867794509,-0.016913746216707614,0.0012276023720551724,1.3506412926584066,1.6594637198610327
0.121040020010005,0.8566936360234062,0,-1.4111686039926052,2.0,4.2768623530019596e-05,-2.1511791050887177,2.112767361548135,-0.017264492752064032,0.0013233799608663042,1.3467956835740669,1.6638223982107614
0.12404102051025512,0.856392149520183,0,-1.4090189026556361,2.0,4.700340312390369e-05,-2.1526021609230828,2.1133515519315096,-0.017601350308557435,0.0014240103813077864,1.3429475821123047,1.6681960040826112
0.12704202101050524,0.8560809178801084,0,-1.4068719228652398,2.0,5.1506623123821935e-05,-2.1540145185511883,2.1139540322667103,-0.01792392213400833,0.0015296154623828738,1.339096971205854,1.6725845424017498
0.13004302151075536,0.8557596097529717,0,-1.4047276776038875,2.0,5.6283023210084404e-05,-2.1554156518487977,2.11457538850939,-0.018231821447802266,0.0016403175893170323,1.3352438321063862,1.6769880203724485
0.13304402201100549,0.855427896450633,0,-1.4025861799753707,2.0,6.133652719163771e-05,-2.1568050455566725,2.115216197379893,-0.018524672928754253,0.001756239755969597,1.331388144338795,1.681406447510886
0.13604502251125564,0.8550854528633508,0,-1.4004474432092102,2.0,6.667018357894822e-05,-2.158182197151183,2.1158770244666183,-0.018802114204900706,0.0018775056161363232,1.3275298856671163,1.6858398356667514
0.13904602301150576,0.8547319583937539,0,-1.3983114806649135,2.0,7.228610778014827e-05,-2.15954661872641,2.1165584223076936,-0.019063797340056636,0.0020042395331459854,1.323669032073064,1.690288199032861
0.14204702351175588,0.85436709790602,0,-1.3961783058360417,2.0,7.818542632282399e-05,-2.160897838881037,2.1172609284575303,-0.01930939031172112,0.002136566627155089,1.3198055577480474,1.6947515541421352
0.145048024012006,0.8539905626877393,0,-1.3940479323540191,2.0,8.436822351383048e-05,-2.162235404603138,2.117985063545013,-0.0195385784748235,0.002274612819523376,1.3159394350994926,1.699229919851308
0.14804902451225613,0.8536020514216444,0,-1.3919203739916453,2.0,9.083349095795088e-05,-2.16355888314555,2.118731329330693,-0.01975106600546616,0.002418504873654492,1.312070634772123,1.7037233173109159
0.15105002501250625,0.8532012711643029,0,-1.3897956446662472,2.0,9.757908036174275e-05,-2.164867863884414,2.1195002067705055,-0.019946577318791184,0.002568370431687946,1.3081991256847672,1.708231769921198
0.15405102551275637,0.8527879383285555,0,-1.3876737584424372,2.0,0.00010460166005177152,-2.166161960153025,2.120292154094135,-0.02012485845474486,0.0027243380464435146,1.3043248750831076,1.7127553032737044
0.1570520260130065,0.8523617796665086,0,-1.3855547295344133,2.0,0.00011189667563859063,-2.167440811043307,2.1211076049060447,-0.02028567842572357,0.002886537208040419,1.3004478486086484,1.7172939450784999
0.16005302651325662,0.8519225332495409,0,-1.3834385723077534,2.0,0.00011945831525393111,-2.1687040831668005,2.1219469663178177,-0.020428830519741405,0.0030550983646540895,1.2965680103839305,1.7218477250771183
0.16305402701350674,0.8514699494416738,0,-1.3813253012806834,2.0,0.00012727947978410697,-2.169951472366971,2.1228106171205545,-0.02055413355275758,0.0032301529368988237,1.2926853231139988,1.7264166749414307
0.16605502751375686,0.8510037918624732,0,-1.3792149311247632,2.0,0.00013535175851369798,-2.171182705374601,2.1236989060063256,-0.02066143306378373,0.003411833325396289,1.2887997482038027,1.7310008281588947
0.169056028014007,0.8505238383355935,0,-1.3771074766649554,2.0,0.00014366541058277046,-2.1723975413981647,2.1246121498476334,-0.02075060244653653,0.003600272911130215,1.284911245891041,1.7356002199047662
0.1720570285142571,0.8500298818186999,0,-1.3750029528790677,2.0,0.00015220935264336608,-2.173595773640637,2.125550632044384,-0.020821544011094695,0.0037956060482835143,1.2810197753938375,1.740214886902025
0.17505802901450726,0.8495217313105548,0,-1.3729013748965355,2.0,0.00016097115308259162,-2.1747772307346236,2.126514600947581,-0.020874189969394337,0.003997968049307414,1.2771252950723357,1.7448448672699766
0.17805902951475738,0.8489992127309346,0,-1.3708027579965405,2.0,0.00016993703315870782,-2.175941778087751,2.127504268368947,-0.020908503338493197,0.004207495162078659,1.2732277626031925,1.7494902003625932
0.1810600300150075,0.8484621697686702,0,-1.3687071176054502,2.0,0.0001790918753637689,-2.1770893191299887,2.128519808186147,-0.020924478755338042,0.004424324539087196,1.2693271351656206,1.7541509265979616
0.18406103051525763,0.8479104646933681,0,-1.3666144692936035,2.0,0.0001884192393023223,-2.178219796455319,2.1295613550524854,-0.020922143197452222,0.004648594198708716,1.2654233696376238,1.7588270872801788
0.18706203101550775,0.8473439791259902,0,-1.3645248287714347,2.0,0.00019790138533377243,-2.179333192849908,2.130629003220389,-0.020901556603755943,0.004880442978695107,1.261516422800717,1.7635187244153272
0.19006303151575787,0.8467626147635231,0,-1.3624382118849752,2.0,0.00020751930618975294,-2.1804295321994096,2.131722805487545,-0.020862812390192078,0.00512001048217301,1.2576062515513322,1.7682258805232645
0.193064032016008,0.8461662940529615,0,-1.3603546346107582,2.0,0.0002172527667337404,-2.181508880268383,2.1328427722742225,-0.02080603785513499,0.0053674370165073615,1.2536928131169531,1.7729485984470252
0.19606503251625812,0.8455549608097428,0,-1.358274113050165,2.0,0.00022708035198008204,-2.1825713453450244,2.1339888708401284,-0.020731394469837322,0.005622863525524756,1.2497760652748644,1.7776869211617985
0.19906603301650824,0.8449285807759052,0,-1.3561966634232812,2.0,0.00023697952344114788,-2.1836170787450744,2.1351610246484927,-0.020639078049682454,0.005886431515699116,1.2458559665713465,1.7824408915854635
0.20206703351675837,0.844287142113061,0,-1.3541223020623068,2.0,0.00024692668380932526,-2.184646275168783,2.136359112885043,-0.020529318802152908,0.006158282977003295,1.2419324765389619,1.7872105523927726
0.2050680340170085,0.8436306558257314,0,-1.352051045404598,2.0,0.0002568972499291401,-2.1856591729060466,2.1375829701382805,-0.02040238124841571,0.006438560299256068,1.23800555590957,1.7919959458352912
0.2080690345172586,0.8429591561103359,0,-1.3499829099854146,2.0,0.0002668657339431525,-2.186656053884615,2.1388323862475374,-0.02025856401534718,0.006727406184846988,1.2340751668207488,1.7967971135691108
0.21107003501750873,0.8422727006255926,0,-1.3479179124304732,2.0,0.0002768058324364708,-2.187637243557596,2.14010710632406,-0.02009819949590317,0.007024963558858448,1.2301412730131311,1.801614096492521
0.21407103551775888,0.8415713706801207,0,-1.3458560694483706,2.0,0.0002866905233316244,-2.188603110626653,2.1414068309498924,-0.019921653375985,0.007331375477648975,1.226203840016375,1.8064469345955296
0.217072036018009,0.8408552713333707,0,-1.343797397823003,2.0,0.00029649217021635775,-2.189554066598322,2.1427312165583565,-0.019729324026771036,0.007646785037033761,1.2222628353214302,1.8112956668232407
